mass,limit_p1,limit_p2,limit_m1,limit_m2,limit_exp,limit_obs
700,8.8771,12.8305,4.1124,3.0330,5.9727,4.8217
750,5.9272,8.5871,2.7270,1.9833,3.9666,5.1024
800,4.2311,6.1910,1.9013,1.3789,2.8016,4.1921
850,3.2640,4.7937,1.4576,1.0525,2.1556,2.4192
900,2.6737,3.9420,1.1729,0.8396,1.7474,1.1208
950,2.2511,3.3479,0.9777,0.6935,1.4673,1.6227
1000,1.9482,2.9290,0.8343,0.5892,1.2569,1.7194
1050,1.6821,2.5360,0.7032,0.4951,1.0741,1.3418
1100,1.4613,2.2298,0.6047,0.4258,0.9237,0.9669
1150,1.2831,1.9692,0.5203,0.3594,0.8070,0.6619
1200,1.1383,1.7752,0.4547,0.3141,0.7053,0.5425
1250,1.0236,1.5983,0.4017,0.2748,0.6281,0.6079
1300,0.9308,1.4786,0.3574,0.2454,0.5711,0.5511
1350,0.8547,1.3642,0.3223,0.2191,0.5194,0.4470
1400,0.7937,1.2724,0.2955,0.1959,0.4731,0.3715
1450,0.7369,1.1906,0.2663,0.1819,0.4392,0.3377
1500,0.6906,1.1192,0.2466,0.1641,0.4040,0.4225
1550,0.6444,1.0555,0.2271,0.1495,0.3752,0.4812
1600,0.6064,0.9965,0.2092,0.1373,0.3515,0.4609
1650,0.5708,0.9461,0.1941,0.1249,0.3263,0.4261
1700,0.5414,0.9028,0.1803,0.1179,0.3081,0.3647
1750,0.5156,0.8611,0.1701,0.1090,0.2907,0.3050
1800,0.4906,0.8258,0.1590,0.1007,0.2742,0.2663
1850,0.4661,0.7897,0.1504,0.0946,0.2605,0.2409
1900,0.4463,0.7494,0.1408,0.0889,0.2472,0.2236
1950,0.4299,0.7156,0.1332,0.0830,0.2361,0.2114
2000,0.4134,0.6822,0.1275,0.0782,0.2250,0.2023
2050,0.3983,0.6572,0.1212,0.0745,0.2168,0.1949
2100,0.3851,0.6354,0.1161,0.0704,0.2096,0.1898
2150,0.3742,0.6121,0.1118,0.0678,0.2019,0.1844
2200,0.3635,0.5947,0.1076,0.0644,0.1962,0.1802
2250,0.3549,0.5757,0.1032,0.0623,0.1899,0.1758
2300,0.3443,0.5584,0.0996,0.0597,0.1842,0.1722
2350,0.3373,0.5426,0.0968,0.0573,0.1790,0.1683
2400,0.3280,0.5275,0.0936,0.0557,0.1740,0.1648
2450,0.3217,0.5152,0.0910,0.0538,0.1699,0.1616
2500,0.3168,0.5052,0.0888,0.0521,0.1666,0.1592
2550,0.3112,0.4963,0.0872,0.0512,0.1637,0.1572
2600,0.3061,0.4882,0.0854,0.0497,0.1610,0.1553
2650,0.3024,0.4804,0.0840,0.0489,0.1584,0.1535
2700,0.2987,0.4725,0.0830,0.0475,0.1558,0.1515
2750,0.2950,0.4667,0.0812,0.0469,0.1539,0.1498
2800,0.2910,0.4603,0.0801,0.0463,0.1518,0.1485
2850,0.2878,0.4552,0.0792,0.0457,0.1501,0.1470
2900,0.2850,0.4490,0.0777,0.0445,0.1481,0.1454
2950,0.2828,0.4436,0.0768,0.0440,0.1463,0.1444
3000,0.2794,0.4402,0.0762,0.0437,0.1452,0.1431
3050,0.2771,0.4365,0.0752,0.0427,0.1440,0.1418
3100,0.2757,0.4326,0.0745,0.0424,0.1427,0.1409
3150,0.2743,0.4304,0.0741,0.0421,0.1419,0.1400
3200,0.2723,0.4272,0.0736,0.0418,0.1409,0.1396
3250,0.2707,0.4247,0.0731,0.0416,0.1401,0.1389
3300,0.2690,0.4220,0.0727,0.0413,0.1392,0.1381
3350,0.2677,0.4200,0.0723,0.0411,0.1385,0.1376
3400,0.2662,0.4176,0.0719,0.0409,0.1377,0.1368
3450,0.2644,0.4132,0.0711,0.0405,0.1363,0.1356
3500,0.2607,0.4089,0.0704,0.0400,0.1349,0.1338
