mass,limit_p1,limit_p2,limit_m1,limit_m2,limit_exp,limit_obs
700,49.4738,65.7217,26.9007,21.0077,36.0938,36.6157
750,40.9397,54.9403,21.6857,16.7709,29.6094,20.6360
800,33.3577,45.4286,16.7189,12.2171,23.5156,14.1677
850,27.2848,38.1154,13.7783,10.2585,19.4531,15.7910
900,23.8403,33.4606,11.2751,8.3423,15.7031,21.5929
950,20.0831,28.6805,9.2698,6.7163,13.1250,24.2544
1000,16.5778,24.5179,7.9110,5.9056,11.3672,22.4048
1050,14.2555,20.8580,6.9998,5.2116,9.8828,16.5816
1100,12.9439,17.8700,6.3694,4.7232,9.0234,12.0772
1150,12.0474,16.7376,5.8969,4.3961,8.3984,9.7557
1200,11.3881,15.8757,5.5422,4.1098,7.8516,7.5063
1250,10.7649,15.0530,5.1931,3.8559,7.4219,5.8256
1300,10.2831,14.4456,4.9299,3.6456,7.0703,5.0538
1350,9.9410,14.0282,4.7362,3.4881,6.8164,4.9148
1400,9.7949,13.8620,4.6412,3.4181,6.6797,5.1170
1450,9.5602,13.5678,4.4897,3.2928,6.4844,5.7129
1500,9.4416,13.4958,4.4065,3.2183,6.3867,6.5555
1550,9.4926,13.5648,4.3909,3.1934,6.3867,7.2631
1600,9.7218,13.9495,4.4594,3.2617,6.5234,7.6623
1650,9.6275,13.9254,4.3767,3.1878,6.4258,7.3674
1700,9.5610,13.8609,4.3330,3.1242,6.3477,6.7374
1750,9.5273,13.9028,4.2783,3.0804,6.3086,6.0685
1800,9.6073,14.0487,4.2633,3.0652,6.3281,5.5333
1850,9.8664,14.4948,4.3554,3.1314,6.4648,5.3440
1900,10.2508,15.1529,4.4967,3.2188,6.6992,5.4939
1950,10.8149,16.0154,4.6879,3.3508,7.0312,5.7774
2000,11.4749,17.0652,4.9451,3.5080,7.4219,6.0796
2050,11.7164,17.5265,4.9862,3.5431,7.5586,6.1695
2100,12.0197,18.0389,5.0828,3.5953,7.7344,6.3853
2150,12.3864,18.7078,5.1913,3.6551,7.9297,6.6873
2200,12.8176,19.3845,5.3447,3.7631,8.1641,7.1846
2250,13.5607,20.5340,5.6045,3.9276,8.5938,8.1271
2300,14.4601,22.0653,5.9383,4.1418,9.1406,9.1044
2350,15.5888,23.7020,6.3697,4.4427,9.8047,10.1406
2400,17.2274,26.2212,6.9771,4.8431,10.7812,11.4204
2450,18.2885,27.9653,7.3783,5.0967,11.4453,12.3974
2500,19.5993,30.2462,7.8764,5.4141,12.2656,13.6652
2550,21.3079,32.6419,8.4208,5.8279,13.2031,15.2443
2600,23.0100,35.5672,9.0573,6.2378,14.2578,17.0907
2650,24.9643,38.5880,9.8266,6.7676,15.4688,18.6832
2700,27.1148,42.1280,10.6523,7.2491,16.7188,20.3288
2750,29.4127,45.5274,11.4186,7.8250,18.0469,22.0753
2800,31.5495,49.0180,12.2591,8.3588,19.4531,23.6724
2850,33.8692,52.4255,13.0961,8.9294,20.7812,25.1687
2900,36.1611,55.9731,13.9823,9.5337,22.1875,26.4196
2950,38.4530,59.5207,14.8685,10.1379,23.5938,27.4352
3000,40.6175,63.4206,15.6423,10.6113,24.9219,28.5198
3050,42.5275,66.4028,16.3779,11.1102,26.0938,29.5437
3100,44.7435,69.9312,17.0644,11.5759,27.1875,30.5738
3150,46.9293,73.3474,17.8257,12.0300,28.5156,31.7855
3200,49.2436,76.9645,18.7048,12.6233,29.9219,33.1115
3250,51.9436,81.8725,19.7304,13.3154,31.5625,34.6219
3300,55.5544,87.2273,20.9151,14.0411,33.5938,36.5869
3350,59.9152,94.4371,22.5739,15.0745,36.4062,39.2206
3400,66.4673,104.8255,24.8022,16.5625,40.0000,42.9430
3450,75.5547,119.1571,28.1932,18.8269,45.4688,48.5176
3500,89.8347,141.6782,33.5218,22.3853,54.0625,57.1867
