mass,significance_exp,significance_obs
700,1.3789,1.0352
750,1.7273,0.0000
800,2.0325,0.0000
850,2.5778,0.0000
900,2.7682,1.0674
950,3.1853,0.7408
1000,3.6185,1.0750
1050,4.2031,0.8491
1100,4.7507,0.6748
1150,5.2881,0.4615
1200,5.7413,0.0000
1250,6.1281,0.0000
1300,6.4998,0.0000
1350,6.8074,0.0000
1400,7.0737,0.0000
1450,7.3795,0.0000
1500,7.6694,0.5315
1550,7.9334,1.0070
1600,8.1957,1.2210
1650,8.4422,0.6352
1700,8.6885,0.0000
1750,8.9175,0.0000
1800,9.1279,0.0000
1850,9.3227,0.0000
1900,9.4890,0.0000
1950,9.6457,0.0000
2000,9.7734,0.0000
2050,9.9032,0.0000
2100,10.0101,0.0000
2150,10.1204,0.0000
2200,10.2354,0.0000
2250,10.3961,0.1892
2300,10.5606,0.7265
2350,10.7246,0.7441
2400,10.8639,0.3770
2450,10.9667,0.0000
2500,11.0499,0.0000
2550,11.1073,0.0000
2600,11.1669,0.5081
2650,11.2312,1.2154
2700,11.2989,1.4301
2750,11.3539,1.3717
2800,11.4119,1.1174
2850,11.4597,0.7711
2900,11.5080,0.3620
2950,11.5495,0.0000
3000,11.5886,0.0000
3050,11.6379,0.0000
3100,11.6856,0.0000
3150,11.7315,0.0000
3200,11.7767,0.0000
3250,11.8210,0.0000
3300,11.8649,0.0000
3350,11.9096,0.0000
3400,11.9539,0.0000
3450,12.0011,0.0000
3500,12.0479,0.0000
