mass,significance_exp,significance_obs
700,1.1874,0.2953
750,1.4282,0.2152
800,1.8443,0.0000
850,2.1306,0.0000
900,2.5052,0.0000
950,2.9108,0.0000
1000,3.3524,0.7512
1050,3.8572,1.2335
1100,4.3751,0.9627
1150,4.8827,0.2730
1200,5.3649,0.2401
1250,5.8311,0.4818
1300,6.2599,0.2360
1350,6.6587,0.0000
1400,6.9837,0.0000
1450,7.3275,0.0000
1500,7.6332,0.0000
1550,7.8672,0.0000
1600,7.9555,0.0000
1650,8.1369,0.7074
1700,8.2683,1.4191
1750,8.3578,1.7573
1800,8.4010,1.7234
1850,8.4542,1.4500
1900,8.4622,1.0243
1950,8.4387,0.4998
2000,8.3935,0.0417
2050,8.3358,0.0000
2100,8.2758,0.0000
2150,8.2011,0.0000
2200,8.1026,0.0000
2250,8.0143,0.0000
2300,7.8984,0.0000
2350,7.7578,0.0000
2400,7.6017,0.0000
2450,7.3959,0.0000
2500,7.1695,0.0000
2550,6.9208,0.0000
2600,6.6476,0.0000
2650,6.5202,0.0000
2700,6.3787,0.0000
2750,6.2264,0.0000
2800,6.0635,0.0000
2850,5.8935,0.0000
2900,5.7154,0.0000
2950,5.5321,0.0000
3000,5.3427,0.0000
3050,5.1617,0.0000
3100,4.9735,0.0000
3150,4.7786,0.0000
3200,4.5756,0.0000
3250,4.3641,0.0000
3300,4.1431,0.0000
3350,3.9114,0.0000
3400,3.6670,0.0000
3450,3.4083,0.0000
3500,3.1330,0.0000
