mass,significance_exp,significance_obs
700,0.8236,0.2814
750,0.8797,0.0000
800,1.0260,0.0000
850,1.3059,0.0000
900,1.5525,0.5628
950,1.7779,0.7251
1000,1.9582,0.8210
1050,2.1996,1.0406
1100,2.3925,0.7947
1150,2.5438,0.4076
1200,2.6612,0.0000
1250,2.7888,0.0000
1300,2.8883,0.0000
1350,2.9525,0.0000
1400,2.9779,0.0000
1450,3.0277,0.0000
1500,3.0374,0.1548
1550,3.0082,0.5066
1600,2.9274,0.6356
1650,2.9388,0.4900
1700,2.9477,0.1652
1750,2.9419,0.0000
1800,2.9138,0.0000
1850,2.8408,0.0000
1900,2.7379,0.0000
1950,2.6156,0.0000
2000,2.4810,0.0000
2050,2.4368,0.0000
2100,2.3862,0.0000
2150,2.3302,0.0000
2200,2.2678,0.0000
2250,2.1662,0.0000
2300,2.0549,0.1447
2350,1.9289,0.2684
2400,1.7776,0.2772
2450,1.6907,0.2845
2500,1.5984,0.3211
2550,1.5037,0.4216
2600,1.4110,0.6179
2650,1.3192,0.7715
2700,1.2355,0.9010
2750,1.1596,0.9628
2800,1.0915,0.9342
2850,1.0307,0.8489
2900,0.9768,0.6995
2950,0.9286,0.4607
3000,0.8857,0.3482
3050,0.8568,0.2823
3100,0.8294,0.2227
3150,0.8021,0.1673
3200,0.7737,0.1150
3250,0.7425,0.0652
3300,0.7069,0.0176
3350,0.6648,0.0000
3400,0.6140,0.0000
3450,0.5519,0.0000
3500,0.4755,0.0000
