mass,region,Br_Hbb,Br_Zbb,CSEV,HLT_efficiency,JER,JES,L1_prefiring,PDF,PER,PES,QCD_scale,Xbb_tagger,lumi_Run2,photon_ID,pile-up
900,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.008,1.026,1.004,,1.002,1.004,,1.07,1.016,1.044,1.01
900,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.029,1.004,,1.001,1.004,,1.07,1.016,1.044,1.01
900,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.027,1.004,,1.002,1.004,,1.07,1.016,1.044,1.01
950,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.006,1.004,1.051,1.007,1.007,1.012,1.07,1.016,1.044,1.01
950,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.006,1.004,1.051,1.008,1.007,1.012,1.07,1.016,1.044,1.01
950,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
950,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.014,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
950,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
950,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.003,1.006,1.004,,1.002,1.007,,1.07,1.016,1.044,1.01
950,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
950,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.002,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1000,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.03,1.025,1.004,1.051,1.004,1.005,1.012,1.07,1.016,1.044,1.01
1000,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.026,1.025,1.004,1.051,1.004,1.005,1.012,1.07,1.016,1.044,1.01
1000,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.028,1.024,1.004,,1.004,1.005,,1.07,1.016,1.044,1.01
1000,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.025,1.024,1.004,,1.004,1.005,,1.07,1.016,1.044,1.01
1000,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.008,1.026,1.004,,1.002,1.005,,1.07,1.016,1.044,1.01
1000,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.006,1.024,1.004,,1.002,1.004,,1.07,1.016,1.044,1.01
1000,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.027,1.004,,1.002,1.004,,1.07,1.016,1.044,1.01
1000,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.025,1.004,,1.002,1.004,,1.07,1.016,1.044,1.01
1050,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.006,1.004,1.051,1.007,1.007,1.012,1.07,1.016,1.044,1.01
1050,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.006,1.004,1.051,1.008,1.007,1.012,1.07,1.016,1.044,1.01
1050,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1050,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.014,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1050,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1050,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.003,1.006,1.004,,1.002,1.007,,1.07,1.016,1.044,1.01
1050,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1050,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.002,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1100,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.006,1.004,1.051,1.007,1.007,1.012,1.07,1.016,1.044,1.01
1100,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.006,1.004,1.051,1.008,1.007,1.012,1.07,1.016,1.044,1.01
1100,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1100,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.014,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1100,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1100,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.003,1.006,1.004,,1.002,1.007,,1.07,1.016,1.044,1.01
1100,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1100,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.002,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1150,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.006,1.004,1.051,1.007,1.007,1.012,1.07,1.016,1.044,1.01
1150,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.006,1.004,1.051,1.008,1.007,1.012,1.07,1.016,1.044,1.01
1150,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1150,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.014,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1150,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1150,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.003,1.006,1.004,,1.002,1.007,,1.07,1.016,1.044,1.01
1150,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1150,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.002,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1200,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.029,1.021,1.004,1.051,1.005,1.005,1.012,1.07,1.016,1.044,1.01
1200,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.027,1.021,1.004,1.051,1.004,1.005,1.012,1.07,1.016,1.044,1.01
1200,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.023,1.02,1.004,,1.004,1.005,,1.07,1.016,1.044,1.01
1200,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.023,1.02,1.004,,1.004,1.005,,1.07,1.016,1.044,1.01
1200,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.006,1.022,1.004,,1.003,1.005,,1.07,1.016,1.044,1.01
1200,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.006,1.021,1.004,,1.002,1.005,,1.07,1.016,1.044,1.01
1200,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.023,1.004,,1.002,1.005,,1.07,1.016,1.044,1.01
1200,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.004,1.021,1.004,,1.002,1.005,,1.07,1.016,1.044,1.01
1250,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.006,1.004,1.051,1.007,1.007,1.012,1.07,1.016,1.044,1.01
1250,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.006,1.004,1.051,1.008,1.007,1.012,1.07,1.016,1.044,1.01
1250,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1250,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.014,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1250,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1250,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.003,1.006,1.004,,1.002,1.007,,1.07,1.016,1.044,1.01
1250,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1250,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.002,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1300,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.006,1.004,1.051,1.007,1.007,1.012,1.07,1.016,1.044,1.01
1300,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.006,1.004,1.051,1.008,1.007,1.012,1.07,1.016,1.044,1.01
1300,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1300,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.014,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1300,SRZ1_W,0.9874/1.0124,1.003,1.001,1.01,1.004,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1300,SRZ2_W,0.9874/1.0124,1.003,1.001,1.01,1.003,1.006,1.004,,1.002,1.007,,1.07,1.016,1.044,1.01
1300,SRZ1_VW,0.9874/1.0124,1.003,1.001,1.01,1.005,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1300,SRZ2_VW,0.9874/1.0124,1.003,1.001,1.01,1.002,1.006,1.004,,1.001,1.007,,1.07,1.016,1.044,1.01
1350,SRH1_N,0.9874/1.0124,1.003,1.001,1.01,1.024,1.006,1.004,1.051,1.007,1.007,1.012,1.07,1.016,1.044,1.01
1350,SRH2_N,0.9874/1.0124,1.003,1.001,1.01,1.018,1.006,1.004,1.051,1.008,1.007,1.012,1.07,1.016,1.044,1.01
1350,SRZ1_N,0.9874/1.0124,1.003,1.001,1.01,1.016,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
1350,SRZ2_N,0.9874/1.0124,1.003,1.001,1.01,1.014,1.006,1.004,,1.006,1.007,,1.07,1.016,1.044,1.01
