mass,pT,SRH1_N,SRH2_N,SRZ1_N,SRZ2_N,SRZ1_W,SRZ2_W,SRZ1_VW,SRZ2_VW
700,<400,0.9614068302628704,0.9508196721311475,0.9197075268817204,0.890139596720585,0.9115735945004237,0.8809079296452785,0.9059350279082842,0.8692775866631384
700,400-600,0.037500910216267384,0.047276039079317767,0.07704086021505377,0.10130733436738311,0.08528109991524625,0.11108381644885526,0.09025017066216921,0.12236041280762107
700,>600,0.0006553557125172941,0.001324722636198046,0.0026838709677419353,0.008198537558165301,0.0026932856201148884,0.007664341161442469,0.0033730875798096615,0.0074093675575549085
800,<400,0.801740073943096,0.791740054661403,0.7365529970117771,0.6908777120315582,0.7448158807468084,0.6972363226170333,0.7565296850013961,0.7014212555382934
800,400-600,0.19598939077318758,0.20583054965077438,0.25733872385304973,0.29763313609467457,0.24903451159816004,0.2898477157360406,0.2367439145112572,0.28626503251050117
800,>600,0.0008037293039704227,0.0012754327361068935,0.004680084373352083,0.010207100591715977,0.0044523159422428845,0.011505922165820644,0.005482650963271315,0.011335519880315323
900,<400,0.48164763458401305,0.4527644505368974,0.45859998308477345,0.4087766254042601,0.5120189993260374,0.4472394220846233,0.5450934966076452,0.4816972854400877
900,400-600,0.5147462865974071,0.5415238748000913,0.5289673254207663,0.5707036913125906,0.4758817677075644,0.5308952528379773,0.4423961608472613,0.49396764463942966
900,>600,0.0020391517128874386,0.004340872743888508,0.010515632488511742,0.018456562953050072,0.010494560159183543,0.02089783281733746,0.010987919907330796,0.023238278036742527
1000,<400,0.26055012991667414,0.23435697808535177,0.2659725929880762,0.22023717052457148,0.32298075014883904,0.26590607267898103,0.3756196725988801,0.30589631974673526
1000,400-600,0.7313860765164412,0.7527393310265282,0.7056712345019873,0.7354357620009321,0.6471852880862605,0.6863455269829771,0.5947787010949035,0.6450995910829705
1000,>600,0.006869157482901771,0.011389850057670127,0.027347689387198195,0.04313603645590596,0.02837864655685652,0.04611855607871544,0.028353364955954207,0.04814668249571297
1200,<400,0.07013910268969184,0.05289318709816846,0.09832556968399848,0.0612457060206111,0.1280416493756366,0.08544057034644091,0.1678530044694587,0.11132641580197525
1200,400-600,0.7743849533991995,0.77897239180939,0.6884363590582904,0.6805731332489604,0.6782359376768401,0.6760610448925031,0.6631766263863599,0.6647705963245406
