mass,pT,SRH1_N,SRH2_N,SRZ1_N,SRZ2_N,SRZ1_W,SRZ2_W,SRZ1_VW,SRZ2_VW
2200,400-600,0.015486047224777675,0.007681365576102418,0.025946529392228496,0.012884609890580807,0.039335234536335924,0.021423980575590945,0.06489563567362429,0.03648504790477112
2200,>600,0.9837166513339466,0.9920910384068279,0.9690717369644636,0.9860011998971516,0.9547644802832137,0.9773619938584589,0.9285262492093611,0.9619665150488725
2400,<400,0.0003809644750627004,0.00010554368189134278,0.0026795747255596854,0.0006822399301386311,0.004876170922622867,0.0005094676063513628,0.004692475280710575,0.0015328381087135951
2400,400-600,0.00641290199688879,0.0035093274228871476,0.015991010458985218,0.00780482480078594,0.02168612857692801,0.011208287339729983,0.038880509468744766,0.017922414809574343
2400,>600,0.9931108924092829,0.9963323570542758,0.9812861958682686,0.9914583560746644,0.9733093802130117,0.9881124225184682,0.9557566616390146,0.9804268364579649
2600,<400,0.00013271840472477522,5.021971123666039e-05,0.0014672841487459306,0.00034512968911779544,0.0022011513714866237,0.0003197953309881676,0.0017699115044247787,0.0
2600,400-600,0.003517037725206543,0.0015819209039548022,0.01105048374524279,0.004035362518915762,0.012698950220115137,0.007461891056390577,0.023451327433628318,0.011930743489014985
2600,>600,0.9963502438700687,0.9983678593848085,0.9874822321060113,0.9956195077919664,0.9850998984083983,0.9921117151689586,0.9747787610619469,0.988069256510985
3000,<400,0.00013932427725531175,0.0,0.0009521423202204961,0.00020079817273662809,0.0015933715742511153,0.0,0.0013882461823229986,0.0005420054200542005
3000,400-600,0.0009752699407871822,0.0004940478991201242,0.005311951891756452,0.0014557867523405537,0.007966857871255577,0.0020404693079408265,0.011105969458583989,0.005149051490514906
3000,>600,0.9988854057819575,0.9995059521008799,0.9937359057880231,0.9983183153033307,0.9904397705544933,0.9979595306920592,0.987505784359093,0.9943089430894309
3500,<400,3.762085700312253e-05,0.0,0.0005782777836189675,0.0,0.0,0.0,0.0010940919037199124,0.0
3500,400-600,0.00022572514201873518,8.833141948591114e-05,0.0025233939648827675,0.00047797720048753676,0.0016722408026755853,0.00039032006245121,0.006564551422319475,0.0031931878658861094
3500,>600,0.9997366540009781,0.9999116685805141,0.9968983282514983,0.9995220227995124,0.9983277591973244,0.9996096799375488,0.9923413566739606,0.9968068121341139
